"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"An overdue-but-still-PENDING record must be counted as IGNORED in
    the rate, not silently excluded as if it never existed.","0","test_rate_reconciles_an_overdue_pending_record_before_counting","tests.unit","2026-09-19","passed","2026-09-19","","test_follow_through_handlers","",""
"is_active=False must fail exactly like a wrong password -- not a
    distinct 'account disabled' message, which would itself be a form of
    enumeration (confirms the account exists, just disabled).
    ","1","test_deactivated_account_rejected_like_any_other_failure","tests.unit","2026-09-19","passed","2026-09-19","","test_login_logout_user","",""
"/home/runner/work/finance-tracker-app/finance-tracker-app/tests/features/FINTRACK-16-statement-import.feature: Upload a corrupted or unparseable file","595","test_upload_a_corrupted_or_unparseable_file","tests.integration","2026-09-19","passed","2026-09-19","","test_imports_api","",""
"","0","test_large_transaction_fallback_still_fires_above_the_flat_threshold","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_handlers","",""
"Matches the BA's Gherkin scenario 2 exactly.","1","test_find_matching_rule_returns_none_when_nothing_matches","tests.unit","2026-09-19","passed","2026-09-19","","test_categorisation_rule_domain","",""
"","1","test_update_transaction_handler_raises_not_found_for_unknown_id","tests.unit","2026-09-19","passed","2026-09-19","","test_transaction_handlers","",""
"","273","test_xss_payload_in_login_email_rejected_generically","tests.security","2026-09-19","passed","2026-09-19","","test_login_security","",""
"/home/runner/work/finance-tracker-app/finance-tracker-app/tests/features/FINTRACK-15-add-manual-transaction.feature: Attempt to add transaction with negative amount","604","test_attempt_to_add_transaction_with_negative_amount","tests.integration","2026-09-19","passed","2026-09-19","","test_transactions_api","",""
"","1","test_valid_refresh_token_issues_a_new_pair","tests.unit","2026-09-19","passed","2026-09-19","","test_refresh_session","",""
"Gap-fill: a subscription detected 8 days ago is outside the
    7-day rolling window and must not be treated as 'new this week'.","1","test_subscription_detected_outside_rolling_window_does_not_trigger","tests.unit","2026-09-19","passed","2026-09-19","","test_weekly_recommendation_handler","",""
"/home/runner/work/finance-tracker-app/finance-tracker-app/tests/features/FINTRACK-13-user-registration.feature: Attempt to register with an already-registered email","317","test_attempt_to_register_with_an_alreadyregistered_email","tests.integration","2026-09-19","passed","2026-09-19","","test_register_api","",""
"","1","test_normalise_merchant_upper_cases_and_strips","tests.unit","2026-09-19","passed","2026-09-19","","test_subscription_domain","",""
"","1","test_sanitise_if_formula_leaves_empty_string_untouched","tests.unit","2026-09-19","passed","2026-09-19","","test_import_batch_domain","",""
"","4","test_auth_bypass_empty_bearer_token_rejected","tests.security","2026-09-19","passed","2026-09-19","","test_imports_security","",""
"","5","test_is_valid_date_accepts_dashed_us_format","tests.unit","2026-09-19","passed","2026-09-19","","test_import_batch_domain","",""
"","1","test_apple_verifier_rejects_expired_token","tests.unit","2026-09-19","passed","2026-09-19","","test_oauth_verifier","",""
"","0","test_update_budget_rejects_invalid_amount","tests.unit","2026-09-19","passed","2026-09-19","","test_budget_handlers","",""
"/home/runner/work/finance-tracker-app/finance-tracker-app/tests/features/FINTRACK-38-frontend-scaffold.feature: Production build succeeds and serves a working root page","5004","test_production_build_succeeds_and_serves_a_working_root_page","tests.integration","2026-09-19","passed","2026-09-19","","test_frontend_build","",""
"","1831","visiting a protected route while logged out redirects to /login","chromium","2026-09-19","passed","2026-09-19","Unauthenticated access (security)","auth.spec.ts","",""
"","284","test_no_token_value_is_ever_written_to_the_logs","tests.security","2026-09-19","passed","2026-09-19","","test_refresh_security","",""
"Byte-for-byte the same attribute set as /register, /login and
    /oauth/* -- drift here means the cookie stops being replaced and starts
    being duplicated.","284","test_the_refresh_cookie_carries_every_required_attribute","tests.security","2026-09-19","passed","2026-09-19","","test_refresh_security","",""
"AC5/IDOR: same one-error-for-both-cases shape as
    DismissAlertHandler -- the attacker gets AlertNotFoundError, never a
    distinct 'forbidden' signal, and no justification is recorded.","0","test_justify_raises_not_found_for_another_users_alert","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_handlers","",""
"","1","test_threshold_crossing_fires_at_exactly_90_percent","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_handlers","",""
"","3","test_auth_bypass_empty_bearer_token_rejected","tests.security","2026-09-19","passed","2026-09-19","","test_insights_security","",""
"","3","test_auth_bypass_token_signed_with_wrong_secret_rejected","tests.security","2026-09-19","passed","2026-09-19","","test_categorisation_rules_security","",""
"","0","test_create_categorisation_rule_creates_a_new_rule","tests.unit","2026-09-19","passed","2026-09-19","","test_categorisation_rule_handlers","",""
"","1","test_new_rejects_zero_limit","tests.unit","2026-09-19","passed","2026-09-19","","test_budget_domain","",""
"AC6: re-runs when new transactions are added -- a 4th occurrence
    updates the existing row's stats (and last_transaction_id) rather than
    creating a duplicate.","1","test_refreshes_existing_subscription_stats_on_re_detection","tests.unit","2026-09-19","passed","2026-09-19","","test_subscription_handlers","",""
"","624","test_electric_co_amount_variance_within_tolerance_is_flagged","tests.integration","2026-09-19","passed","2026-09-19","","test_subscriptions_api","",""
